,Year,Week,Date,Team,Home_Status,Opp,Game,Home_Money_Line,Away_Money_Line,Spread,Spread_Odds,Total
305,2024,11,11/14/2024,PHI,Home,WAS,1,-205,180,-3,-110,49.5
306,2024,11,11/17/2024,CHI,Home,GB,2,210,-258,6,-105,40.5
307,2024,11,11/17/2024,DET,Home,JAX,3,-1000,650,-14,-115,47.5
308,2024,11,11/17/2024,MIA,Home,LV,4,-410,320,-7.5,-115,43.5
309,2024,11,11/17/2024,NE,Home,LA,5,160,-192,4,-110,43
310,2024,11,11/17/2024,NO,Home,CLE,6,105,-125,1.5,-108,44
311,2024,11,11/17/2024,PIT,Home,BAL,7,145,-175,3,100,48
312,2024,11,11/17/2024,TEN,Home,MIN,8,235,-290,6,-102,40
313,2024,11,11/17/2024,NYJ,Home,IND,9,-198,164,-4,-112,43.5
314,2024,11,11/17/2024,DEN,Home,ATL,10,-130,110,-1.5,-112,45
315,2024,11,11/17/2024,SF,Home,SEA,11,-258,210,-6,-108,48.5
316,2024,11,11/17/2024,BUF,Home,KC,12,-130,110,-2.5,-108,46
317,2024,11,11/17/2024,LAC,Home,CIN,13,-120,100,-1.5,-110,48
318,2024,11,11/18/2024,DAL,Home,HOU,14,260,-325,7,100,41.5
