,Week,Year,Team,Opp,adj_base_home_win_perc,adj_base_away_win_perc,Base_predict_win,Home_Money_Line,Away_Money_Line,Spread,Total,Home_Gamble,Away_Gamble,Home_Payout,Away_Payout,Total_Prediction,Over_Under_Gamble,Spread_Gamble,Spread_Pred,Total_Pred,Home_Pred,Away_Pred,Home_Spread_Odds,Away_Spread_Odds,Over_Total_Odds,Under_Total_Odds,Spread_Bet_Amount,Total_Bet_Amount,Home_Vegas_Pred,Away_Vegas_Pred,percentOverVegasTotal,percentUnderVegasTotal,percentOverVegasHomeTotal,percentUnderVegasHomeTotal,percentOverVegasAwayTotal,percentUnderVegasAwayTotal,homeTotalBet,awayTotalBet,homeTotalBetAmount,awayTotalBetAmount,homeTotalOverOdds,homeTotalUnderOdds,awayTotalOverOdds,awayTotalUnderOdds,date
1,11,2024,BUF,KC,0.510865481,0.489134519,1,-130,110,-2.5,46,0,100,76.92307692,110,45,NA,NA,-1,45,23,22,-108,-108,-110,-110,0,0,23.5,23.5,0.3,0.6,0,0,0,0,NA,NA,0,0,-120,100,-110,-110,2024-11-10T20:25:00Z
2,11,2024,CHI,GB,0.358342128,0.641657872,0,210,-258,7.5,40.5,100,0,210,38.75968992,43,NA,CHI,-4,43,20,24,-130,-130,-110,-110,100,0,17.5,23.5,0.5,0.5,0,0,0,0,NA,NA,0,0,105,-125,-110,-110,2024-11-08T00:15:00Z
3,11,2024,DAL,HOU,0.3627754,0.6372246,0,260,-325,7,41.5,0,0,260,30.76923077,43,NA,NA,1,43,21,22,100,100,-110,-110,0,0,16.5,24.5,0.4,0.6,0,0,0,0,NA,NA,0,0,-120,100,-110,-110,2024-11-10T17:00:00Z
4,11,2024,DEN,ATL,0.496351141,0.503648859,0,-130,110,-3.5,45,0,100,76.92307692,110,47,Over,NA,-13,47,17,30,-112,-112,-110,-110,0,100,23.5,22.5,0.7,0.2,0,0,0,0,NA,NA,0,0,-110,-110,-115,-105,2024-11-10T17:00:00Z
5,11,2024,DET,JAX,0.896288115,0.103711885,1,-900,600,-13,47.5,0,0,11.11111111,600,50,Over,DET,0,50,25,25,-110,-110,-110,-110,100,100,30.5,16.5,0.7,0.3,0,0,0,0,NA,NA,0,0,-110,-110,-115,-105,2024-11-10T20:25:00Z
6,11,2024,LAC,CIN,0.608957283,0.391042717,1,-120,100,-1.5,48,0,100,83.33333333,100,47,NA,NA,-14,47,30,16,-110,-110,-110,-110,0,0,24.5,23.5,0.5,0.5,0,0,0,0,NA,NA,0,0,-105,-115,-115,-105,2024-11-11T00:20:00Z
7,11,2024,MIA,LV,0.736047657,0.263952343,1,-345,275,-7.5,43.5,0,0,28.98550725,275,46,Over,NA,-4,46,25,21,-105,-105,-110,-110,0,100,27.5,17.5,0.7,0.3,0,0,0,0,NA,NA,0,0,115,-135,-105,-115,2024-11-10T17:00:00Z
8,11,2024,NE,LA,0.473192108,0.526807892,0,160,-192,4,43,100,0,160,52.08333333,51,Over,NA,18,51,16,34,-110,-110,-110,-110,0,100,-19.5,23.5,0.7,0.2,0,0,0,0,NA,NA,0,0,-120,100,-120,100,2024-11-10T17:00:00Z
9,11,2024,NO,CLE,0.595059552,0.404940448,1,105,-125,1.5,44,0,100,105,80,45,NA,NA,-1,45,23,22,-108,-108,-110,-110,0,0,21.5,22.5,0.6,0.4,0,0,0,0,NA,NA,0,0,-110,-110,-120,100,2024-11-10T17:00:00Z
10,11,2024,NYJ,IND,0.633037736,0.366962264,1,-192,160,-4,43.5,0,0,52.08333333,160,50,NA,NA,-5,50,28,22,-108,-108,-110,-110,0,0,23.5,19.5,0.5,0.5,0,0,0,0,NA,NA,0,0,-120,100,-125,105,2024-11-12T00:15:00Z
11,11,2024,PHI,WAS,0.699713365,0.300286635,1,-205,180,-3,49.5,100,0,48.7804878,180,44,Under,PHI,3,44,24,20,-150,-150,-110,-110,100,100,27.5,22.5,0.2,0.8,0,0,0,0,NA,NA,0,0,105,-125,-115,-105,2024-11-15T00:15:00Z
12,11,2024,PIT,BAL,0.489575999,0.510424001,0,145,-175,3.5,48,0,100,145,57.14285714,48,NA,PIT,-10,48,19,29,-102,-102,-110,-110,100,0,23.5,26.5,0.6,0.4,0,0,0,0,NA,NA,0,0,100,-120,-105,-115,2024-11-10T17:00:00Z
13,11,2024,SF,SEA,0.770464603,0.229535397,1,-265,215,-6,48,100,0,37.73584906,215,56,Over,SF,3,56,30,26,-108,-108,-110,-110,100,100,27.5,20.5,0.7,0.2,0,0,0,0,NA,NA,0,0,-105,-115,-110,-110,2024-11-10T17:00:00Z
14,11,2024,TEN,MIN,0.317565196,0.682434804,0,220,-270,6,40,100,0,220,37.03703704,48,Over,NA,6,48,21,27,-110,-110,-110,-110,0,100,16.5,22.5,0.8,0.1,0,0,0,0,NA,NA,0,0,-110,-110,-125,105,2024-11-10T17:00:00Z
